"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"220","Szent Simon és Szent Júdás apostolok","2","10-28","Misekönyv 732. oldal<br>
Ezek azok a férfiak, akiket az Úr igaz szeretetben kiválasztott,
és örökké tartó dicsőséggel jutalmazott.","Istenünk, te úgy akartad,
hogy apostolaid által jussunk el neved ismeretére.
Szent Simon és Szent Júdás Tádé közbenjárására
add jóságosan kegyelmedet,
hogy Egyházad szüntelenül gyarapodjék,
és egyre több nép fogadjon el hívő lélekkel téged.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
Szent Simon és Szent Júdás Tádé apostol
örök dicsőségéről megemlékezve
arra kérünk,
fogadd el felajánlott adományainkat,
és tégy minket méltóvá a szent áldozat bemutatására.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Aki szeret engem, az megtartja szavamat,
Atyám is szeretni fogja;
hozzá megyünk, és benne fogunk lakni. 
(Jn 14,23)","Urunk, Istenünk, e szentségben részesedve
könyörögve kérünk a Szentlélekben,
hogy ez az áldozat, amelyet Szent Simon és Szent Júdás Tádé
szenvedésére emlékezve felajánlottunk,
őrizzen meg minket szeretetedben.
Krisztus, a mi Urunk által."
"221","Boldog Romzsa Tódor püspök és vértanú","4","10-31",,,,,,
"222","Mindenszentek","1","11-01","Misekönyv 734. oldal<br>Örvendezzünk mindnyájan az Úrban
ünnepi napot ülvén Mindenszentek tiszteletére,
kiknek ünnepén örülnek az angyalok,
és magasztalják az Istennek Fiát.","Mindenható, örök Isten, te megadtad,
hogy egy napon ünnepeljük minden szented dicsőségét.
Kérünk, hogy sokszoros közbenjárásukra
bőven áraszd reánk nagy irgalmadat.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd tetszéssel áldozati adományainkat,
amelyeket minden szented tiszteletére felajánlunk.
Hisszük, hogy ők már eljutottak a boldog halhatatlanságba;
engedd éreznünk, hogy közbenjárnak üdvösségünkért.
Krisztus, a mi Urunk által.","Misekönyv 735. oldal<br>
<i>Anyánknak, a mennyei Jeruzsálemnek dicsősége.</i><br><br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>
 
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–  mi Urunk, szentséges ATYánk,
mindenható, örök Isten:
<br>
Mert a te jóságodból ünnepeljük a mai napon a dicsőség városát,
a mennyei Jeruzsálemet, mely anyánk és végső célunk,
 –  hol megdicsőült testvéreink kórusa
mindörökké magasztal téged.<br>
Mi valamennyien, akik a hit fényében a földi élet zarándokútját járjuk,
nagy buzgósággal törekszünk e szent városba,
és örvendünk, hogy az Egyház tagjait ilyen dicsőség várta,
–  s hogy gyarló embervoltunknak a szentekben adtál
pártfogót és példaképet.
<br>
(És) Ezért velük és az angyalok ünneplő kórusával együtt
–  magasztalunk Téged,
és hangos szóval mondjuk (zengjük):","Boldogok a tiszta szívűek, mert meglátják az Istent.
Boldogok a békességben élők, mert Isten fiainak hívják majd őket.
Boldogok, akik üldözést szenvednek az igazságért,
mert övék a mennyek országa. (Mt 5,8-10)","Mindenható Istenünk,
a te végtelen szentségedet csodáljuk és tiszteljük minden szentedben.
Add kegyelmedet,
hogy szentté legyünk szereteted teljességében,
és innét, a földi zarándokok asztalától
eljussunk a mennyei haza lakomájára.
Krisztus, a mi Urunk által."
"223","Halottak napja","1","11-02","<i>A misék, amelyek itt következnek, a miséző tetszése szerint választhatók. Ha november 2-a vasárnapra esik, a mise a halottak napjáról veendő.<br>A misekönyv három szövegváltozatot tartalmaz, mi az elsőt közöljük.</i><br><br>
Amint Krisztus meghalt és feltámadt,
ugyanúgy feltámasztja Isten azokat is,
akik Jézusban hunytak el;
és ahogyan Ádámban minden ember meghal,
ugyanúgy Krisztusban mindenki örök életre támad. (1Tessz 4,14; 1Kor 15,22)","Mennyei Atyánk, hallgasd meg jóságosan imádságunkat,
amikor húsvéti hittel valljuk,
hogy szent Fiad a halálból életre támadt.
Kérünk, erősítsd bennünk azt a reménységet,
hogy elhunyt híveidnek is megadod a boldog feltámadást.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Fogadd kegyesen adományainkat, Istenünk.
Kérünk, vedd fel elhunyt gyermekeidet
	szent Fiad dicsőségébe,
akinek fölséges áldozata
testvéri szeretetben kapcsol össze minket.
Aki él és uralkodik mindörökkön örökké.","<i>A misekönyv öt féle prefációt tartalmaz, itt az elsőt közöljük.<br>
Krisztus a boldog feltámadás reménye<br>
75. A következő prefációt gyászmisékben mondjuk.</i><br><br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
A boldog feltámadás reménye benne ragyogott föl nékünk,
és így, bár megszomorít a halál kényszere,
–    az ígért örök ÉLet
  megvigasztal minket.
Mert híveid élete, Urunk, megváltozik, de meg nem szűnik,
és amikor halandó testünk enyészetnek indul,
–    lelkünket a MENNYben
  örök otthon várja.
<br>
( És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Így szól az Úr: Én vagyok a feltámadás és az élet.
Aki hisz bennem, még ha meghal is, élni fog.
Az, aki úgy él, hogy hisz bennem, nem hal meg örökre. (Jn 11,25-26)","Mennyei Atyánk, add kegyelmedet,
hogy örök világosságod és békességed országába jussanak
	elhunyt gyermekeid,
akikért ezt a húsvéti áldozatot bemutattuk.
Krisztus, a mi Urunk által."
"224","Porres Szent Márton szerzetes","4","11-03",,,,,,
"225","Borromeo Szent Károly püspök","3","11-04",,,,,,
"226","Szent Imre herceg","2","11-05","Virul az igaz, akár a pálma,
s úgy növekszik, mint a Libanon cédrusa.
Az Úr házában van elültetve,
Istenének csarnokában bont virágot.
(Zsolt 91,13-14)","Istenünk, te Szent Imrét
tündöklő ifjúságában emelted szentjeid társaságába,
miután sugallatodra neked szentelte életét.
Engedd, hogy mindenkor közbenjáró segítőnk legyen nálad.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Áldozati adományaink felajánlása, Istenünk,
tisztítson meg minket minden bűntől;
és Szent Imre herceg közbenjárása által,
akinek ünnepét üljük,
jussunk el a mennyei haza örökségébe.
Krisztus, a mi Urunk által.",,"Boldogok a tiszta szívűek, mert meglátják az Istent.
Boldogok a békességben élők, mert Isten fiainak hívják majd őket.
Boldogok, akik üldözést szenvednek az igazságért,
mert övék a mennyek országa.
(Mt 5,8-10)","Istenünk, védd meg népedet minden bajtól,
hogy Szent Imre közbenjárásával
el tudjuk kerülni a jelen élet veszélyeit,
és a jövendő örök dicsőséget megérdemeljük.
Krisztus, a mi Urunk által."
"227","A lateráni bazilika felszentelése","2","11-09","Láttam, hogy a szent város, az új Jeruzsálem
alászállt az égből, az Istentől.
Olyan volt, mint a vőlegényének fölékesített menyasszony.
(Jel 21,2)","Istenünk, te élő kövekből, választottaidból
emelsz örök hajlékot fölséges nevednek.
Add, hogy Egyházadat bőkezűen töltse el
	az ajándékozó Szentlélek,
és hívő népedből egyre inkább felépüljön
	a mennyei Jeruzsálem.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.<br><br>
<i>Vagy:</i><br>
Istenünk, te Egyháznak nevezted népedet.
Add, hogy az a közösség, amely nevedben egybegyűlt,
csak téged szolgáljon, szeressen és kövessen;
és vezetéseddel jusson el a megígért mennyei hazába.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.
","Kérünk, Istenünk,
fogadd szívesen áldozati adományainkat.
Add meg, hogy mindazok, akik itt hozzád folyamodnak,
szentségeid kegyelmében részesüljenek,
és elnyerjék, amire vágyakoznak.
Krisztus, a mi Urunk által.","<i>Az Egyháznak, Krisztus jegyesének és a Szentlélek templomának misztériuma.</i><br><br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–  mi Urunk, szentséges ATYánk,
  mindenható, örök Isten:
<br>
Mert jótékonyságod lakhelyéül választod az imádság házát,
hogy kegyelmed folytonos segítsége által minket a Szentlélek templomává építs,
–  melyet ragyogva ELtölt
  a neked tetsző élet fénye.
De Krisztus jegyesét, az Egyházat is jelenti a látható épület,
mert Egyházadban is szüntelenül folytatod a megszentelés művét,
–  hogy számtalan gyermek boldog anyjaként elnyerje TŐled
  dicsőséged fényét.
<br>
(És) ezért mi is, az összes angyalokkal és szentekkel együtt
–  magasztalunk TÉged,
  és ujjongva mondjuk: (zengjük:)","Mint élő kövek épüljetek Krisztusra,
hogy lélekből való templom, szent papság legyetek. (1Pét 2,5)","Istenünk, te úgy akartad,
hogy a földi Egyház a mennyei Jeruzsálem előképe legyen.
Engedd, hogy az áldozatban való részesedésünk
kegyelmed templomává tegyen minket,
és egykor majd juttasson el dicsőséges hajlékodba.
Krisztus, a mi Urunk által.
"
"228","Nagy Szent Leó pápa és egyháztanító","3","11-10",,,,,,
"229","Tours-i Szent Márton püspök","3","11-11",,,,,,
"230","Szent Jozafát püspök és vértanú","3","11-12",,,,,,
"231","Magyar szentek és boldogok","4","11-13",,,,,,
"232","Nagy Szent Albert püspök és egyháztanító","4","11-15",,,,,,
"233","Skóciai Szent Margit","4","11-16",,,,,,
"234","Nagy Szent Gertrúd szűz","4","11-17",,,,,,
"235","A Szent Péter- és Szent Pál-bazilikák felszentelése","4","11-18",,,,,,
"236","Árpád-házi Szent Erzsébet","2","11-19","<i>Jótékonykodók miséje, 761.</i><br><br>
Jöjjetek, akiket megáldott az Atya –  mondja az Úr,
szükséget szenvedtem, és gondot viseltetek rám.
Bizony mondom nektek,
amit legkisebb testvéreim közül egynek tettetek, nekem tettétek. (Mt 25,34.36.40)","Istenünk, te megadtad Árpád-házi Szent Erzsébetnek,
hogy a szegényekben Krisztust lássa és tisztelje.
Közbenjárására add,
hogy mi is lankadatlan szeretettel segítsük embertársainkat
minden testi-lelki bajukban.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Fogadd el, néped adományait, Istenünk,
és add meg nekünk,
hogy míg Fiad végtelen szeretetének áldozatát megjelenítjük,
szentjeid példája nyomán
megerősödjünk az ő szeretetében és a felebaráti szeretetben.
Krisztus, a mi Urunk által.",,"Senki sem szeret jobban, mint az, aki életét adja barátaiért. (Jn 15,13)
<br><br><i>vagy:</i><br>
Arról tudják majd meg rólatok, hogy a tanítványaim vagytok,
hogy szeretettel vagytok egymás iránt –  mondja az Úr. (Jn 13,35)","Istenünk, add, hogy a szent áldozatban megújulva
kövessük Szent Erzsébet példáját,
aki téged fáradhatatlan buzgósággal tisztelt,
és népednek kifogyhatatlan szeretettel viselte gondját.
Krisztus, a mi Urunk által.
<br><br><i>vagy:</i><br>
Üdvösségszerző szentségeddel tápláltál minket, Istenünk.
Kérve kérünk, hogy mi, akik Szent Erzsébetet a szeretetben követni igyekszünk, egykor dicsőségében is részesedjünk. Krisztus, a mi Urunk által. 
"
"237","A Boldogságos Szűz Mária bemutatása a templomban","3","11-21",,,,,,
"238","Szent Cecília szűz és vértanú","3","11-22",,,,,,
"239","Szent I. Kelemen pápa és vértanú","4","11-23a",,,,,,
"240","Szent Kolumbán apát","4","11-23b",,,,,,
"241","Dung-Lac Szent András áldozópap és társai, vietnami vértanúk","3","11-24",,,,,,
"242","Alexandriai Szent Katalin szűz és vértanú","4","11-25",,,,,,
"243","Szent András apostol","2","11-30","Az Úr a Galileai-tenger partján látott két testvért,
Pétert és Andrást.
Meghívta őket: jöjjetek utánam,
emberhalászokká teszlek titeket. (Vö. Mt 4,18-19.)","Kérünk, Istenünk,
legyen közbenjárónk az örökkévalóságban Szent András apostol,
aki itt a földön igehirdetője és vezetője volt Egyházadnak.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Mindenható Istenünk,
engedd, hogy ezeket az áldozati adományokat,
amelyeket Szent András apostol ünnepén hozunk eléd,
tetszésedre felajánlhassuk és általuk megújuljon életünk.
Krisztus, a mi Urunk által.","<i>Az apostolok Isten népének pásztorai.<br>
62. A következő prefációt az apostolok, különösen is Szent Péter és Pál miséiben mondjuk.</i><br>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–    mi Urunk, szentséges ATyánk,
  mindenható, örök Isten:
<br>
Mert nyájadat, örök Pásztorunk, magára nem hagyod,
–    hanem szent apostolaid ÁLtal
  mindvégig őrzöd és óvod,
hogy azok kormányozzák hívő népedet,
–    kik rendelésedből állnak nyájad ÉLén
  Fiad helyett, mint pásztorok.
<br>
( És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)
<br><br>
<i>vagy:<br> 
PREFÁCIÓ AZ APOSTOLOKRÓL II.<br>
Az Egyház apostoli alapjai és tanúi<br>
63. A következő prefációt az apostolok és evangélisták miséiben mondjuk.</i><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Mert megadtad Egyházadnak, hogy az apostolok szilárd alapján álljon,
a te szentséged örök jeleként maradjon fenn itt a földön,
  és tanúságot tegyen a mennynek országáról minden népnek.
<br>
(És) Ezért az angyalok egész seregével együtt
–    most és mindörökké ZENGjük,
  és hálás szívvel mondjuk: (énekeljük:)","András így szólt testvéréhez, Simonhoz:
Megtaláltuk a Messiást, vagy más szóval a Fölkentet; s elvitte Jézushoz. (Jn 1,41-42)","Urunk, Istenünk,
szentséged vétele erősítsen meg minket,
hogy Szent András apostol példája nyomán
Krisztus halálát hordozzuk magunkban,
és vele együtt élhessünk a mennyei dicsőségben.
Aki él és uralkodik mindörökkön örökké."
"244","Xavéri Szent Ferenc áldozópap","3","12-03",,,,,,
"245","Damaszkuszi Szent János áldozópap és egyháztanító","4","12-04",,,,,,
"246","Szent Miklós püspök","4","12-06",,,,,,
"247","Szent Ambrus püspök és egyháztanító","3","12-07",,,,,,
"248","A Boldogságos Szűz Mária szeplőtelen fogantatása","1","12-08","Örvendezve örvendek az Úrban,
és lelkem ujjong az én Istenemben,
mert az üdvösség ruhájába öltöztetett engem,
és az igazság palástját terítette rám,
mint menyasszonyra, aki ékszerekkel díszíti magát. (Iz 61,10)","Istenünk, te méltó hajlékot készítettél Fiadnak
a Boldogságos Szűz Mária szeplőtelen fogantatásában,
amikor őt Fiad halálának érdeméért eleve megóvtad minden bűntől.
Szűz Mária közbenjárására engedd,
hogy mi is tiszta lélekkel jussunk el hozzád.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd jóságosan
és fordítsd üdvösségünkre az áldozati adományt,
amelyet a Boldogságos Szűz Mária
szeplőtelen fogantatásának ünnepén bemutatunk.
Hittel valljuk, hogy kegyelmed eleve megóvta őt minden bűntől,
és kérünk, adj közbenjárására vétkeinktől szabadulást nekünk.
Krisztus, a mi Urunk által.","<i>Mária és az Egyház misztériuma.</i><br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–  mi Urunk, szentséges ATYánk,
mindenható, örök Isten:
<br>
Te megőrizted a Boldogságos Szűz Máriát az áteredő bűn minden szennyétől,
–  és kegyelmed teljességével méltóvá tetted ARra,
hogy ő legyen Fiadnak édesanyja.
Így megjelent benne az eljövendő Egyház,
–  Krisztus szépséges JEgyese,
melyen sem ránc, sem szeplő nincsen.
E tiszta Szűz hivatása volt, hogy világra hozza a Fiút,
–  az ártatlan BÁrányt,
aki elveszi a világ bűneit.
Te Máriát adtad népednek,
 –  hogy mindenkinél hathatósabban pártfogoljon MINket,
és ő legyen az életszentség példaképe.
<br>
(És) Ezért mi is az angyalok kórusához társulunk,
–  dicsőítünk TÉged
és ujjongva mondjuk: (zengjük:)","Dicső dolgokat mondanak rólad, Mária,
mert tőled született Krisztus,
a mi Istenünk, az igazság Napja.","Urunk, Istenünk,
gyógyítsa bennünk a magunkhoz vett szentség ereje
az áteredő bűn sebeit,
miután ettől a bűntől Szűz Máriát
a szeplőtelen fogantatás kiváltsága által
már eleve megóvtad.
Krisztus, a mi Urunk által."
"249","Szent Juan Diego Cuauhtlatoatzin, guadalupei látnok","4","12-09",,,,,,
"250","Szent I. Damazusz pápa","4","12-11",,,,,,
"251","A Guadalupei Boldogságos Szűz Mária","4","12-12",,,,,,
"252","Szent Lúcia szűz és vértanú","3","12-13",,,,,,
"253","Keresztes Szent János áldozópap és egyháztanító","3","12-14",,,,,,
"254","Kaníziusz Szent Péter áldozópap és egyháztanító","4","12-21b",,,,,,
"255","Kety Szent János áldozópap","4","12-23b",,,,,,
"256","Szent István első vértanú","2","12-26","Megnyílott az ég kapuja Szent István előtt:
ő az első a vértanúk sorában,
aki elnyerte a mennyben a győzelmi koronát.","Urunk, Istenünk, add, hogy kövessük annak példáját,
akit ma tisztelünk;
tanuljuk meg szeretni ellenségeinket,
hiszen ma Szent István vértanú
mennyei születése napját ünnepeljük,
aki üldözőiért is tudott imádkozni.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd szívesen áldozati adományainkat,
amelyeket odaadó szeretettel szentelünk a mai napon neked,
és Szent István vértanú dicsőséges emlékünnepén felajánlunk.
Krisztus, a mi Urunk által.
","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Míg kövezték Istvánt, így imádkozott:
Uram, Jézus, vedd magadhoz lelkemet! (ApCsel 7,58)","Istenünk, köszönjük irántunk tanúsított sokszoros irgalmadat,
amellyel elhoztad nekünk szent Fiad születésekor az üdvösséget,
Szent István vértanúd ünnepével pedig megörvendeztetsz minket.
Krisztus, a mi Urunk által."
"257","Szent János apostol és evangélista","2","12-27","Ő az a János, aki az utolsó vacsorán az Úr mellett foglalt helyet.
Boldog apostol, mert megnyíltak előtte a mennyország titkai,
és az egész földkerekségen hirdette az örök élet igéit.
<br><br><i>Vagy:</i><br>
Szólásra nyitotta ajkát az Egyházban,
a bölcsesség és az értelem lelkével töltötte be őt az Úr,
a dicsőség ruháját adta rá. (Sir 15,5)","Istenünk, te Szent János apostol által
feltártad előttünk örök Igéd rejtett titkait.
Kérünk, tedd fogékonnyá értelmünket,
hogy megértsük,
amit ő oly kiváló bölcsességgel tanított nekünk.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, szenteld meg felajánlott adományainkat,
és add, hogy ebből az égi lakomából
az örök Ige titokzatos életét merítsük,
melynek titkait ugyanebből a forrásból tártad fel
	János apostolodnak.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Az Ige testté lett, és közöttünk élt.
Mindannyian az ő teljességéből részesültünk. (Jn 1,14.16)","Mindenható Istenünk,
a most bemutatott áldozat által
lakozzék mindig bennünk a megtestesült Ige,
akit Szent János apostol hirdetett.
Krisztus, a mi Urunk által."
"258","Aprószentek","2","12-28","Az Aprószentek, a Krisztus helyett megölt ártatlan kisdedek,
követik őt, mint szeplőtelen Bárányt,
és szüntelenül hirdetik: Dicsőség neked, Urunk!","Istenünk, az Aprószentek a mai napon nem szóval,
hanem vértanúhalálukkal hirdetik dicsőségedet.
Add, kérünk, hogy beléd vetett hitünket
ne csak szavunkkal valljuk,
hanem életünkkel is tanúsítsuk.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Istenünk, fogadd el buzgó híveid áldozati adományait,
és tisztítsd meg azokat,
akik tudatosan szolgálnak neked az áldozat bemutatásánál,
hiszen annak erejével még az öntudatra nem jutott kisdedeket is
elvezetted az üdvösségre.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Ők a megváltottak az emberek közül,
az Isten és a Bárány első termése.
Mindenüvé követték a Bárányt, ahová csak ment. (Jel 14,4)","Istenünk, áraszd a megváltás bőséges kegyelmét híveidre,
amikor magunkhoz vesszük égi ajándékodat Aprószentek ünnepén,
akik szent Fiadat emberszóval ugyan nem vallhatták meg,
de születésének kegyelméből elnyerték a mennyei koronát.
Krisztus, a mi Urunk által."
"259","Szent I. Szilveszter pápa","4","12-31b",,,,,,
